Level 2
{
Balloons: 72
[
9,7,1,
9,7,2,
9,7,3,
9,7,4,
10,7,1,
10,7,2,
10,7,3,
10,7,4,
11,7,1,
11,7,2,
11,7,3,
11,7,4,
12,7,1,
12,7,2,
12,7,3,
12,7,4,

24,5,1,
24,6,1,
25,5,1,
25,6,1,
26,5,1,
26,6,1,
27,5,1,
27,6,1,

20,21,1,
20,21,2,
20,22,1,
20,22,2,
21,21,1,
21,21,2,
21,22,1,
21,22,2,
25,26,1,
25,26,2,
25,26,3,
25,26,4,
25,27,1,
25,27,2,
25,27,3,
25,27,4,
26,26,1,
26,26,2,
26,26,3,
26,26,4,
26,27,1,
26,27,2,
26,27,3,
26,27,4,

5,17,1,
5,17,2,
5,17,3,
5,17,4,
5,18,1,
5,18,2,
5,18,3,
5,18,4,
7,21,6,
7,22,6,
7,23,6,
7,24,6,
8,21,6,
8,22,6,
8,23,6,
8,24,6,
9,21,6,
9,22,6,
9,23,6,
9,24,6,
10,21,6,
10,22,6,
10,23,6,
10,24,6,
];

Blocks: 30 
[
12,11,3,
12,11,5,
13,10,3,
13,10,5,
13,11,3,
13,11,5,

20,10,3,
21,11,5,
23,9,4,
23,11,3,

21,24,1,
21,24,2,
21,24,3,
21,24,4,
23,22,1,
23,22,2,
23,22,3,
23,22,4,

7,23,7,
7,24,7,
8,23,7,
8,24,7,
9,19,1,
9,19,2,
9,19,3,
9,19,4,
10,18,1,
10,18,2,
10,18,3,
10,18,4,
];
}
