Level 4
{
Balloons: 74
[
4,5,2,
4,6,2,
4,6,3,
5,4,2,
5,4,3,
5,5,2,
5,5,3,
5,6,2,
5,6,3,
5,7,2,
5,7,3,
6,4,2,
6,4,3,
6,6,2,
6,6,3,
6,7,2,
6,7,3,
7,4,2,
7,4,3,
7,5,2,
7,5,3,
7,6,2,
7,6,3,

23,3,3,
23,4,3,
23,5,3,
24,3,3,
24,4,3,
24,6,3,
25,3,3,
25,5,3,
25,6,3,
26,4,3,
26,5,3,
26,6,3,

17,27,4,
17,28,5,
18,27,3,
18,28,4,
19,28,4,
22,22,2,
22,22,3,
22,22,4,
22,23,2,
22,23,3,
22,23,4,
23,16,4,
23,22,2,
23,22,3,
23,22,4,
24,16,4,
26,16,4,

5,22,2,
5,22,3,
5,23,2,
5,23,3,
5,24,2,
5,24,3,
6,22,2,
6,22,3,
6,23,2,
6,23,3,
6,24,2,
6,24,3,
7,21,2,
7,21,3,
7,22,2,
7,22,3,
7,23,2,
7,23,3,
7,24,2,
7,24,3,
8,22,2,
8,22,3,
];

Blocks: 10 
[
17,26,3,
19,27,5,

6,19,2,
6,19,3,
7,20,2,
7,20,3,
9,22,2,
9,22,3,
10,23,2,
10,23,3,
];

BounceBlocks: 11
[
21,4,3,
22,5,3,
23,6,3,
24,7,3,
25,8,3,

21,23,2,
21,23,3,
21,23,4,
23,21,2,
23,21,3,
23,21,4,
];

WoodBlocks: 29
[
5,8,2,
5,8,3,
6,8,2,
6,8,3,
7,8,2,
7,8,3,
8,5,2,
8,5,3,
8,6,2,
8,6,3,
8,7,2,
8,7,3,

23,3,4,
23,4,4,
23,5,4,
24,3,4,
24,4,4,
24,5,4,
24,6,4,
25,3,4,
25,4,4,
25,5,4,
25,6,4,
26,4,4,
26,5,4,
26,6,4,

22,16,4,

8,21,2,
8,21,3,
];
}
