Level 3
{
Balloons: 81
[
4,4,2,
4,4,3,
4,5,2,
4,6,2,
4,6,3,
4,7,2,
4,7,3,
5,4,2,
5,4,3,
5,5,2,
5,5,3,
5,6,2,
5,6,3,
5,7,2,
5,7,3,
6,4,2,
6,4,3,
6,5,2,
6,5,3,
6,6,2,
6,6,3,
6,7,2,
6,7,3,
7,4,2,
7,4,3,
7,5,2,
7,5,3,
7,6,2,
7,6,3,
7,7,2,
7,7,3,

22,5,1,
22,6,1,
23,3,1,
23,4,1,
23,5,1,
23,6,1,
24,3,1,
24,4,1,
24,5,1,
24,6,1,
25,3,1,
25,4,1,
25,5,1,
26,3,1,
26,4,1,
26,5,1,
26,6,1,
27,3,1,
27,4,1,

21,23,2,
21,23,3,
21,23,4,
22,22,2,
22,22,3,
22,22,4,
22,24,2,
22,24,3,
22,24,4,
23,23,2,
23,23,3,
23,23,4,
23,25,2,
23,25,3,
23,25,4,
24,24,2,
24,24,3,
24,24,4,

4,22,5,
5,25,6,
5,26,7,
6,20,6,
6,21,7,
6,22,6,
6,26,5,
6,27,8,
7,22,6,
7,26,6,
8,23,5,
];

Blocks: 10 
[
19,11,1,
19,11,2,
20,12,1,
20,12,2,

7,23,3,
8,24,8,
9,24,6,
10,25,3,
];

BounceBlocks: 4z
[
3, 4, 1,
3, 4, 2,
3, 4, 3,
3, 5, 1,
3, 5, 2,
3, 5, 3,
3, 6, 1,
3, 6, 2,
3, 6, 3,
4, 3, 1,
4, 3, 2,
4, 3, 3,
5, 3, 1,
5, 3, 2,
5, 3, 3,
6, 3, 1,
6, 3, 2,
6, 3, 3,
4, 4, 0,
4, 5, 0,
5, 4, 0,
5, 5, 0,

22,6,5,
22,7,5,
23,6,5,
23,7,5,

20,24,2,
20,24,3,
20,24,4,
21,25,2,
21,25,3,
21,25,4,
22,26,2,
22,26,3,
22,26,4,
23,21,2,
23,21,3,
23,21,4,
24,22,2,
24,22,3,
24,22,4,
25,23,2,
25,23,3,
25,23,4,

4,25,5,
6,25,9,
9,26,4,
];
}
